recipe_id_candidate,display_name,ingredient_position,ingredient_raw_text,ingredient_name_normalized,quantity_value,quantity_unit,defer_reason,suggested_future_rule
recipes_v1_1_candidate_006,Filipino Pork Adobo,1,1 cup distilled white vinegar,distilled white vinegar,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_006,Filipino Pork Adobo,2,1 cup soy sauce,soy sauce,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_006,Filipino Pork Adobo,3,½ cup ketchup,ketchup,0.5,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_006,Filipino Pork Adobo,5,3 bay leaves,bay leaves,3.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,3,"1 slice onion, diced",onion,1.0,slice,unit_not_supported_in_this_pass,
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,5,"1 green bell pepper, chopped",green bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,6,"1 red bell pepper, chopped",red bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,7,"1 (28 ounce) can whole peeled tomatoes, crushed",whole tomatoes,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,11,1 teaspoon cayenne pepper,cayenne pepper,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_008,White Chili with Ground Turkey,4,"2 (4 ounce) cans canned green chile peppers, chopped",canned green chile peppers,2.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_008,White Chili with Ground Turkey,5,1 tablespoon ground cumin,cumin,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_008,White Chili with Ground Turkey,7,1 teaspoon ground cinnamon,cinnamon,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_008,White Chili with Ground Turkey,8,ground cayenne pepper to taste,cayenne pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_008,White Chili with Ground Turkey,9,ground white pepper to taste,white pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_008,White Chili with Ground Turkey,11,3 (15 ounce) cans cannellini beans,cannellini beans,3.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_008,White Chili with Ground Turkey,12,2 cups shredded Monterey Jack cheese,monterey jack cheese,2.0,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_009,Polish Stuffed Cabbage,1,1 medium head cabbage,head cabbage,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_009,Polish Stuffed Cabbage,2,water to cover,water to cover,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_009,Polish Stuffed Cabbage,5,garlic powder to taste,garlic powder,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_009,Polish Stuffed Cabbage,7,1 (12 fluid ounce) can tomato juice,tomato juice,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_009,Polish Stuffed Cabbage,10,water to cover,water to cover,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_010,Angela's Asian-Inspired Chicken Noodle Soup,2,1 (3 ounce) package chicken-flavored ramen noodles,chicken flavored ramen noodles,1.0,package,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_010,Angela's Asian-Inspired Chicken Noodle Soup,3,2 cups chopped cooked chicken breast,chicken breast,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_010,Angela's Asian-Inspired Chicken Noodle Soup,4,"2 leaves bok choy, sliced",bok choy,2.0,leaf,unit_not_supported_in_this_pass,
recipes_v1_1_candidate_011,Grilled Mediterranean Vegetable Sandwich,2,2 red bell peppers,red bell peppers,2.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_011,Grilled Mediterranean Vegetable Sandwich,4,"2 portobello mushrooms, sliced",portobello mushrooms,2.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_011,Grilled Mediterranean Vegetable Sandwich,6,4 tablespoons mayonnaise,mayonnaise,4.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_011,Grilled Mediterranean Vegetable Sandwich,7,1 (1 pound) loaf focaccia bread,loaf focaccia bread,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,2,1 tablespoon chopped fresh oregano,oregano,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,3,1 tablespoon chopped fresh basil,basil,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,5,ground black pepper to taste,black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,6,"1 (15 ounce) can garbanzo beans, drained and rinsed",garbanzo beans,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,7,"1 large zucchini, halved and sliced",zucchini,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,8,½ cup sliced mushrooms,mushrooms,0.5,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,9,1 tablespoon chopped fresh cilantro,cilantro,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_012,Garbanzo Stir-Fry,10,"1 tomato, chopped",tomato,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,2,"1 medium green bell pepper, diced",green bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,3,"1 medium tomato, chopped",tomato,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,4,4 tablespoons Worcestershire sauce,worcestershire sauce,4.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,5,"1 (28 ounce) can diced tomatoes, undrained",undrained,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,6,1 tablespoon minced onion,onion,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,10,salt and ground black pepper to taste,salt and black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,12,½ cup shredded Cheddar cheese,cheddar cheese,0.5,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,2,2 tablespoons tomato paste,tomato paste,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,4,2 tablespoons rice wine,rice wine,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,7,2 tablespoons grated fresh ginger,ginger,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,9,"¾ teaspoon red pepper flakes, divided",red pepper flakes,0.75,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,11,"¼ cup canola oil, divided",canola oil,0.25,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_014,Korean Fried Pork With Stir-Fried Celery,12,"4 stalks celery, cut into strips and leaves reserved",celery,4.0,stalk,unit_not_supported_in_this_pass,
recipes_v1_1_candidate_015,Sheet Pan Garlic Butter Steak Bites with Veggies,8,1 tablespoon Worcestershire sauce,worcestershire sauce,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_015,Sheet Pan Garlic Butter Steak Bites with Veggies,11,2 teaspoons fresh rosemary,rosemary,2.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,1,cooking spray,cooking spray,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,2,"8 red potatoes, cut into chunks",red potatoes,8.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,3,"1 yellow bell pepper, cut into 1-inch pieces",yellow bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,8,"2 cups cherry tomatoes, halved",cherry tomatoes,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,9,4 (4 ounce) tilapia filets,tilapia filets,4.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,10,1 teaspoon lemon zest,lemon zest,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,5,"2 skinless, boneless chicken breast halves - cut into bite-size pieces",chicken breast halves cut into bite size pieces,2.0,count,meat_or_seafood_count_deferred,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,6,2 cups broccoli florets,broccoli florets,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,7,2 cups cauliflower florets,cauliflower florets,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,8,2 cups julienned carrots,julienned carrots,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,9,salt to taste,salt,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_017,Stir Fried Pasta with Veggies,10,ground black pepper to taste,black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_018,Shrimp Marinara,5,1/2 teaspoon crushed red pepper,red pepper,0.5,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_018,Shrimp Marinara,6,1 (15-ounce) can diced fire-roasted tomatoes,fire roasted tomatoes,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_018,Shrimp Marinara,7,1 (15 ounce) can tomato sauce,tomato sauce,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_018,Shrimp Marinara,8,"1/4 cup chopped fresh basil, plus more for garnish",basil,0.25,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_019,Turmeric Black Pepper Chicken with Broccoli,4,2 tablespoons flour,flour,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_019,Turmeric Black Pepper Chicken with Broccoli,5,1 1/2 teaspoons ground turmeric,turmeric,1.5,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_019,Turmeric Black Pepper Chicken with Broccoli,10,1 (5 ounce) can water chestnuts,water chestnuts,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_020,Thai Fried Rice,1,"6 slices bacon, sliced crosswise into 1/2-inch pieces",bacon,6.0,slice,unit_not_supported_in_this_pass,
recipes_v1_1_candidate_020,Thai Fried Rice,4,"1 large tomato, cubed",tomato,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_020,Thai Fried Rice,5,½ cup chopped fresh pineapple,pineapple,0.5,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_020,Thai Fried Rice,7,2 tablespoons ketchup,ketchup,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_020,Thai Fried Rice,10,¼ teaspoon freshly ground white pepper,freshly white pepper,0.25,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,3,"3 large green bell peppers, halved and seeded",green bell peppers,3.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,6,garlic powder to taste,garlic powder,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,7,salt to taste,salt,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,8,ground black pepper to taste,black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,9,1 (15 ounce) can tomato sauce,tomato sauce,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_021,Kelsey's Favorite Stuffed Green Peppers,10,2 cups finely shredded mozzarella cheese,finely mozzarella cheese,2.0,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_022,Grandma's Chinese Vegetable Soup,3,"2 large potatoes, cut into chunks",potatoes,2.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
recipes_v1_1_candidate_022,Grandma's Chinese Vegetable Soup,4,"2 large tomatoes, quartered",tomatoes,2.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_022,Grandma's Chinese Vegetable Soup,8,salt to taste,salt,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_023,Beef and Broccoli Udon Noodles,5,1/4 teaspoon baking soda,baking soda,0.25,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,4,"1 bell pepper, chopped",bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,5,"2 (14.5 ounce) cans black beans, rinsed, drained, and mashed",black beans,2.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,6,2 tablespoons yellow cornmeal,yellow cornmeal,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,7,1 ½ tablespoons cumin,cumin,1.5,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,8,1 teaspoon paprika,paprika,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,9,1 teaspoon cayenne pepper,cayenne pepper,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,10,1 teaspoon chili powder,chili powder,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_024,Vegan Bean Taco Filling,11,1 cup salsa,salsa,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_025,10-Minute Mushroom Carbonara,1,1 (16 ounce) package spaghetti,spaghetti,1.0,package,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,2,"5 skinless, boneless chicken thighs",chicken thighs,5.0,count,meat_or_seafood_count_deferred,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,7,"1 tablespoon fresh ginger,",ginger,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,9,1 cup zucchini,zucchini,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,10,1 cup broccoli,broccoli,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,13,2 cups low-sodium chicken broth,low sodium chicken broth,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,14,1/2 cup yum yum sauce,yum yum sauce,0.5,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,15,1/4 cup green onions,green onions,0.25,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,3,2 (6 ounce) cans tomato paste,tomato paste,2.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,4,1 (14.5 ounce) can crushed tomatoes,tomatoes,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,7,2 teaspoons garlic powder,garlic powder,2.0,teaspoon,powder_density_deferred_not_fresh_rule,add_powder_specific_density_rule_after_review
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,14,9 lasagna noodles,lasagna noodles,9.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_028,Easy Skillet Lasagna,2,½ (28 ounce) jar spaghetti sauce,spaghetti sauce,0.5,jar,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_028,Easy Skillet Lasagna,3,1 (14.5 ounce) can diced tomatoes,tomatoes,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_028,Easy Skillet Lasagna,10,2 cups dried mafalda noodles,mafalda noodles,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_028,Easy Skillet Lasagna,11,1 cup shredded mozzarella cheese,mozzarella cheese,1.0,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,1,cooking spray,cooking spray,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,2,"1 sweet potato, cut into 1/4-inch wedges",sweet potato,1.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,6,1 tablespoon ijon mustard,ijon mustard,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,8,2 teaspoons mayonnaise,mayonnaise,2.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,9,2 cups broccoli florets,broccoli florets,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,11,2 teaspoons everything bagel seasoning,everything bagel seasoning,2.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_030,Stuffed Eggplant,7,1 cup sliced fresh mushrooms,mushrooms,1.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_030,Stuffed Eggplant,9,2 tablespoons chopped fresh basil,basil,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_030,Stuffed Eggplant,10,1 cup tomato-basil pasta sauce,tomato basil pasta sauce,1.0,cup,pasta_cup_deferred_without_cooked_signal,add_cooked_pasta_cup_rule_only_when_text_confirms_cooked
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,1,1 large spaghetti squash (4 to 5 pounds),spaghetti squash,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,3,salt to taste,salt,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,9,"1/2 cup Parmigiano Reggiano cheese, plus more for serving",parmigiano reggiano cheese,0.5,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,10,1/2 cup pecorino Romano cheese,pecorino romano cheese,0.5,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,11,2 tablespoons Italian parsley,italian parsley,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,4,2 tablespoons finely chopped dried tomatoes,finely tomatoes,2.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,6,1 tablespoon grated Parmesan cheese,parmesan cheese,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,8,1/2 teaspoon I talian seasoning,i talian seasoning,0.5,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,10,1/4 teaspoon freshly ground black pepper,freshly black pepper,0.25,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,3,2 zucchini,zucchini,2.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,4,1 pepper bell pepper,pepper bell pepper,1.0,count,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,7,1 (15.25 ounce) can black beans,black beans,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,8,1 (14.5 ounce) can fire roasted tomatoes,fire roasted tomatoes,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,9,"1 (14 1/2 ounce) new potatoes, drained and rinsed",new potatoes,1.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,12,salt and freshly ground black pepper to taste,salt and freshly black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,13,chopped fresh parsley,parsley,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,1,2 cups reduced sodium chicken broth,reduced sodium chicken broth,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,4,1 tablespoon Dijon mustard,dijon mustard,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,7,1 (10-ounce) package frozen peas and carrots,peas and carrots,1.0,package,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,11,1/4 cup chopped fresh parsley (optional),parsley,0.25,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_035,Homemade Roasted Chicken Noodle Soup,1,"1 (4 pound) whole chicken, cut into pieces",whole chicken,1.0,count,meat_or_seafood_count_deferred,
recipes_v1_1_candidate_035,Homemade Roasted Chicken Noodle Soup,7,"1 head garlic, cut in half lengthwise",garlic,1.0,head,unit_not_supported_in_this_pass,
recipes_v1_1_candidate_036,Prime Rib Soup,1,"4 beef ribs, trimmed from a cooked prime rib roast",beef ribs,4.0,count,meat_or_seafood_count_deferred,
recipes_v1_1_candidate_036,Prime Rib Soup,2,2 cups beef stock,beef stock,2.0,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_036,Prime Rib Soup,3,"1 potato, peeled and cut into 3/4 inch pieces",potato,1.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
