pilot_recipe_id,source_row_number,recipe_title,category,subcategory,num_ingredients,num_steps,duplicate_group_size,selection_score,noise_score,recipe_kind_guess,audit_decision,audit_reason
pilot_recipe_068,38271,Quick Super-Delicious Zuppa Toscana,Italian,Italian Soups And Stews,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_069,38286,Rich Italian Sausage and Potato Soup,Italian,Italian Soups And Stews,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_070,59504,Sweet and Sour Ground Pork Stir-Fry,Pork,Pork Stir-Fry,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_071,51275,Vegetable Quesadillas,Mexican,Quesadillas,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_072,59640,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,10,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_073,36526,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,10,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_074,50389,Easy Chicken Fajita Marinade,Mexican,Mexican,8,5,1,7.73,0,sauce_or_dressing,move_to_review,"marinade component, not a full meal recipe"
pilot_recipe_075,35100,Healthier Ultimate Twice-Baked Potatoes,Healthy Recipes,Healthy Makeover Recipes,10,5,1,7.73,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_076,58683,Herb-Roasted Pork,Pork,Pork Loin,10,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_077,4006,Korean Barbecue Short Ribs Teriyaki,Beef Recipes,Beef Ribs,8,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_078,58641,Parsley and Parmesan Crusted Pork Tenderloin,Pork,Pork Tenderloin,10,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_079,58642,Pork Tenderloin with Dijon Marsala Sauce,Pork,Pork Tenderloin,8,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_080,51272,Texas Chicken Quesadillas,Mexican,Quesadillas,8,5,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_081,4868,Dash's Donair,Beef Recipes,Beef Sandwiches,9,6,2,7.71,0,standalone,move_to_review,sandwich/wrap style deserves review before first parsing batch
pilot_recipe_082,4584,Grilled London Broil,Beef Recipes,Bbq & Grilled Beef,9,4,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_083,35125,Healthier Restaurant-Style Buffalo Chicken Wings,Healthy Recipes,Healthy Makeover Recipes,9,4,2,7.71,0,standalone,move_to_review,wing/appetizer profile is borderline for meal-planning pilot
pilot_recipe_084,36212,Marinated Grilled Shrimp,Healthy Recipes,Egg-Free Recipes,9,6,2,7.71,0,standalone,move_to_review,could behave like appetizer or protein component depending on use
pilot_recipe_085,38470,Ricotta-Stuffed Zucchini,Italian,Italian Appetizers,9,4,2,7.71,0,side_only,move_to_review,stuffed vegetable side/appetizer is a lighter edge-case recipe
pilot_recipe_086,4038,BBQ NY Strip,Beef Recipes,Beef Ribs,8,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_087,58609,Bacon-Wrapped Pork Medallions,Pork,Pork Tenderloin,8,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_088,59197,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,8,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_089,59586,Chuck's Come On Ice Cream (or Night of the Red Death) Chili,Pork,Pork Chili,10,5,2,7.71,0,standalone,move_to_review,noisy novelty title should be confirmed before parsing
pilot_recipe_090,4598,Grilled Balsamic and Soy Marinated Flank Steak,Beef Recipes,Bbq & Grilled Beef,10,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_091,58628,Grilled Pork Tenderloin with Balsamic Honey Glaze,Pork,Pork Tenderloin,10,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_092,34492,Portuguese Pork with Red Peppers,Healthy Recipes,Low-Calorie Recipes,8,5,2,7.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_093,4519,Lana's Sweet and Sour Meatballs,Beef Recipes,Beef Appetizers,9,6,3,7.69,0,standalone,move_to_review,appetizer-category meatball recipe is borderline for pilot scope
pilot_recipe_094,50499,Roasted Tomato Salsa,Mexican,Mexican Appetizers,9,4,3,7.69,0,sauce_or_dressing,move_to_review,salsa component is useful but better handled after meal recipes
pilot_recipe_095,4500,Loaded Tater Tot Taco Cups,Beef Recipes,Beef Appetizers,8,5,3,7.69,0,side_only,move_to_review,party-food / cup format is lower-priority for the first parsing batch
pilot_recipe_096,36081,Quick and Easy Chicken,Healthy Recipes,Dairy-Free Recipes,8,5,3,7.69,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_097,4779,Easy Taco Casserole,Beef Recipes,Beef Casserole,9,4,4,7.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_098,35127,Healthier Eggplant Parmesan,Healthy Recipes,Healthy Makeover Recipes,9,6,4,7.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_099,59182,Mini Ham Loaves,Pork,Pork Meatloaf,9,4,4,7.67,0,standalone,move_to_review,mini/party-style loaf format is slightly borderline for pilot scope
pilot_recipe_100,4775,Pizza Casserole,Beef Recipes,Beef Casserole,9,4,4,7.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_101,4019,The Real Deal Korean Beef Ribs,Beef Recipes,Beef Ribs,9,4,4,7.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_102,38460,Double Tomato Bruschetta,Italian,Italian Appetizers,10,5,4,7.67,0,side_only,move_to_review,bruschetta/appetizer pattern is better reviewed separately
pilot_recipe_103,4023,Gluten-Free Kalbi Beef,Beef Recipes,Beef Ribs,8,5,4,7.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_104,58723,Homemade Breakfast Sausage,Pork,Ground Pork,8,5,4,7.67,0,component,move_to_review,homemade component recipe should be separated from full meals
pilot_recipe_105,38191,Genoise Sponge,Italian,Authentic Italian Recipes,9,4,5,7.65,0,component,remove_from_pilot,cake base / dessert component outside pilot scope
pilot_recipe_106,35603,Strawberry Spinach Salad,Healthy Recipes,Low-Sodium Recipes,8,5,5,7.65,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_107,35307,Dutch Apple Pie with Oatmeal Streusel,Healthy Recipes,Low-Potassium Recipes,9,6,7,7.61,0,standalone,remove_from_pilot,dessert/pie recipe outside pilot scope
pilot_recipe_108,35426,Kimchi,Healthy Recipes,Prebiotic And Probiotic Recipes,9,4,7,7.61,0,component,move_to_review,fermented component is valuable but better parsed in a later component pass
pilot_recipe_109,4488,The Best Sweet and Sour Meatballs,Beef Recipes,Beef Appetizers,9,6,7,7.61,0,standalone,move_to_review,appetizer-category meatball recipe is borderline for pilot scope
pilot_recipe_110,34911,Grandma's Chicken Noodle Soup,Healthy Recipes,Low Glycemic Impact Recipes,10,5,7,7.61,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_111,59148,Ham and Cheese Breakfast Casserole,Pork,Pork Casserole,9,6,8,7.59,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_112,4560,Serbian Ćevapčići,Beef Recipes,Bbq & Grilled Beef,10,5,11,7.53,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_113,5128,Beef Noodle Soup,Beef Recipes,Beef Soup,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_114,58707,Bourbon Bacon Pulled Pork,Pork,Pork Loin,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_115,58659,Canadian Pork Loin Chops,Pork,Pork Loin,9,7,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_116,5024,Easy Ginger Beef,Beef Recipes,Beef Stir-Fry,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_117,58823,Easy North Carolina Barbeque,Pork,Pork Shoulder,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_118,4009,Fried Beef Ribs,Beef Recipes,Beef Ribs,9,7,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_119,51404,Grilled Catfish Tacos,Mexican,Mexican Fish Tacos,9,7,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_120,35131,Healthier Broiled Tilapia Parmesan,Healthy Recipes,Healthy Makeover Recipes,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_121,50548,Posole Soup,Mexican,Mexican Soups And Stews,9,3,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_122,50439,Queso Fundido,Mexican,Mexican Appetizers,8,6,1,7.48,0,component,remove_from_pilot,dip-like cheese component outside first parsing batch
pilot_recipe_123,36518,Herbed Chicken Nuggets,Healthy Recipes,Healthy Kid Recipes,11,5,1,7.48,0,standalone,move_to_review,nugget / processed-style shape deserves a quick scope check
pilot_recipe_124,36331,Real Wisconsin Fried Cheese Curds,Healthy Recipes,Low-Carb Recipes,7,5,1,7.48,0,side_only,remove_from_pilot,"snack/appetizer fry, outside pilot meal focus"
pilot_recipe_125,35810,Red Pepper Soup,Healthy Recipes,Weight-Loss Recipes,7,5,1,7.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_126,51407,Tilapia Fish Tacos with Red Pepper-Lime Slaw and Blue Cheese Aioli,Mexican,Mexican Fish Tacos,7,5,1,7.48,0,standalone,move_to_review,multi-component taco with slaw and aioli is a harder first-pass parse
pilot_recipe_127,38197,Balsamic Bruschetta,Italian,Authentic Italian Recipes,10,6,2,7.46,0,side_only,move_to_review,bruschetta/appetizer pattern is better reviewed separately
pilot_recipe_128,38710,Grilled Spaghetti,Italian,Spaghetti,10,6,2,7.46,0,standalone,move_to_review,novelty format is parseable but worth confirming manually
pilot_recipe_129,51096,Vegan Sweet Potato and Bean Burritos,Mexican,Burritos,8,4,2,7.46,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_130,51372,Easy Mahi Mahi Fish Tacos,Mexican,Mexican Fish Tacos,11,5,2,7.46,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_131,51024,Zesty Carnitas Tacos,Mexican,Mexican Slow Cooker Recipes,7,5,2,7.46,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_132,38386,Old-Fashioned Italian Zucchini Fritters,Italian,Italian Side Dishes,9,3,3,7.44,0,side_only,move_to_review,fritter/appetizer pattern is lower-priority for first parsing pass
