recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header,quantity_raw,quantity_value_low,quantity_value_high,unit_raw,unit_normalized,ingredient_text_clean,food_name_candidate,preparation_note,optional_flag,garnish_flag,alternative_flag,packaging_flag,parse_status,parse_notes,matched_food_id,matched_canonical_name,matched_display_name,matched_food_family_name,match_method,match_confidence,mapping_status,mapping_notes,candidate_count,candidate_food_ids_preview,review_reason_group,review_audit_decision,suggested_promotion_target_display_name,review_audit_reason
pilot_recipe_final_014,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,3,⅛ cup milk,,0,1/8,0.125,0.125,cup,cup,milk,milk,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,3,"food_milk_powder_semi_skimmed,food_milk_powder_skimmed,food_milk_powder_whole",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,2,"2 cloves garlic, sliced thin",,0,2,2.0,2.0,cloves,clove,"garlic, sliced thin",garlic,sliced thin,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,6,"4 carrots, halved lengthwise and cut crosswise into 1-inch pieces",,0,4,4.0,4.0,,,"carrots, halved lengthwise and cut crosswise into 1-inch pieces",carrots,halved lengthwise and cut crosswise into 1-inch pieces,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,9,"food_carrot_boiled_cooked_in_water_crunchy,food_carrot_boiled_cooked_in_water_tender,food_carrot_canned_drained,food_carrot_cooked,food_carrot_dehydrated",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_016,Broiled Pork Chops,Dinner,Pork Chops,2,¾ cup water,,0,3/4,0.75,0.75,cup,cup,water,water,,0,0,0,0,parsed_clean,,food_water_bottled,water_bottled,"Water, bottled",Water,exact_family_name,medium,review_needed,exact food_family_name match,1,food_water_bottled,family_exact_unique,likely_bad_match,,current target is not a safe semantic default for this ingredient
pilot_recipe_final_016,Broiled Pork Chops,Dinner,Pork Chops,10,6 (3/4 inch) thick pork chops,,0,6 (3/4 inch),6.0,6.0,,,thick pork chops,pork chops,thick,0,0,0,0,parsed_partial,leading_parenthetical_note; leading_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,2,"food_pork_chop_grilled,food_pork_chop_raw",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_017,Cajun Shrimp and Sausage Sheet Pan Dinner,Dinner,Sheet Pan Dinners,4,1/2 medium red onion,,0,1/2,0.5,0.5,,,medium red onion,red onion,medium,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,food_red_onion_raw,red_onion_raw,"Red onion, raw",Red onion,exact_family_name,medium,review_needed,exact food_family_name match,1,food_red_onion_raw,family_exact_unique,safe_to_promote_with_rule,"Red onion, raw",unique family-level match looks safe enough for a narrow promotion rule
pilot_recipe_final_019,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,4,"1 egg, beaten",,0,1,1.0,1.0,,,"egg, beaten",egg,beaten,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_019,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,5,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_020,Chicken Bog,Main Dishes,Southern Main Dishes,1,6 cups water,,0,6,6.0,6.0,cups,cup,water,water,,0,0,0,0,parsed_clean,,food_water_bottled,water_bottled,"Water, bottled",Water,exact_family_name,medium,review_needed,exact food_family_name match,1,food_water_bottled,family_exact_unique,likely_bad_match,,current target is not a safe semantic default for this ingredient
pilot_recipe_final_020,Chicken Bog,Main Dishes,Southern Main Dishes,3,"1 medium onion, chopped",,0,1,1.0,1.0,,,"medium onion, chopped",onion,medium; chopped,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_022,Classic Beef Stuffed Peppers,Main Dishes,Stuffed Bell Peppers,3,"3 eggs, beaten",,0,3,3.0,3.0,,,"eggs, beaten",eggs,beaten,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_023,Corned Beef and Cabbage,Beef Recipes,Beef Brisket,4,"1 large onion, sliced",,0,1,1.0,1.0,,,"large onion, sliced",onion,large; sliced,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_024,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,1,nonstick cooking spray,,0,,,,,,nonstick cooking spray,nonstick cooking spray,,0,0,0,0,review_needed,missing_quantity; mapping_risk_line,,,,,no_match,low,review_needed,no_exact_or_normalized_match,0,,parse_review_no_match,likely_bad_match,,current target is not a safe semantic default for this ingredient
pilot_recipe_final_024,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,2,3 eggs,,0,3,3.0,3.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_024,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,4,¼ cup milk,,0,1/4,0.25,0.25,cup,cup,milk,milk,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,3,"food_milk_powder_semi_skimmed,food_milk_powder_skimmed,food_milk_powder_whole",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_025,"Easy Bacon, Onion, and Cheese-Stuffed Burgers",Main Dishes,Burgers,7,"1 medium onion, finely chopped",,0,1,1.0,1.0,,,"medium onion, finely chopped",onion,medium; finely chopped,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_026,Easy Ginger Beef,Beef Recipes,Beef Stir-Fry,1,1 tablespoon soy sauce,,0,1,1.0,1.0,tablespoon,tablespoon,soy sauce,soy sauce,,0,0,0,0,parsed_clean,,food_soy_sauce_prepacked,soy_sauce_prepacked,"Soy sauce, prepacked",Soy sauce,exact_family_name,medium,review_needed,exact food_family_name match,1,food_soy_sauce_prepacked,family_exact_unique,safe_to_promote_with_rule,"Soy sauce, prepacked",unique family-level match looks safe enough for a narrow promotion rule
pilot_recipe_final_026,Easy Ginger Beef,Beef Recipes,Beef Stir-Fry,6,"1 onion, chopped",,0,1,1.0,1.0,,,"onion, chopped",onion,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_026,Easy Ginger Beef,Beef Recipes,Beef Stir-Fry,8,¼ cup sweet and sour sauce,,0,1/4,0.25,0.25,cup,cup,sweet and sour sauce,sweet and sour sauce,,0,0,0,0,parsed_clean,,food_sweet_and_sour_sauce_prepacked,sweet_and_sour_sauce_prepacked,"Sweet and sour sauce, prepacked",Sweet and sour sauce,exact_family_name,medium,review_needed,exact food_family_name match,1,food_sweet_and_sour_sauce_prepacked,family_exact_unique,keep_in_review,"Sweet and sour sauce, prepacked",match is plausible but still too assumption-heavy for auto-promotion
pilot_recipe_final_027,Easy Grilled Shrimp Fajitas,Mexican,Fajitas,3,"1 large onion, sliced into thin strips",,0,1,1.0,1.0,,,"large onion, sliced into thin strips",onion,large; sliced into thin strips,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_028,Easy Grilled Vegetables,Vegetarian,Vegetarian Bbq & Grilling,9,"1 large red onion, cut into pieces",,0,1,1.0,1.0,,,"large red onion, cut into pieces",red onion,large; cut into pieces,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,food_red_onion_raw,red_onion_raw,"Red onion, raw",Red onion,exact_family_name,medium,review_needed,exact food_family_name match,1,food_red_onion_raw,family_exact_unique,safe_to_promote_with_rule,"Red onion, raw",unique family-level match looks safe enough for a narrow promotion rule
pilot_recipe_final_029,Easy Mahi Mahi Fish Tacos,Mexican,Mexican Fish Tacos,4,"1 medium tomato, diced",,0,1,1.0,1.0,,,"medium tomato, diced",tomato,medium; diced,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_tomato_dried,food_tomato_raw,food_tomato_roasted_baked,food_tomato_roasted_baked_with_skin",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_029,Easy Mahi Mahi Fish Tacos,Mexican,Mexican Fish Tacos,5,"½ red onion, chopped",,0,1/2,0.5,0.5,,,"red onion, chopped",red onion,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,food_red_onion_raw,red_onion_raw,"Red onion, raw",Red onion,exact_family_name,medium,review_needed,exact food_family_name match,1,food_red_onion_raw,family_exact_unique,safe_to_promote_with_rule,"Red onion, raw",unique family-level match looks safe enough for a narrow promotion rule
pilot_recipe_final_029,Easy Mahi Mahi Fish Tacos,Mexican,Mexican Fish Tacos,9,cooking spray,,0,,,,,,cooking spray,cooking spray,,0,0,0,0,review_needed,missing_quantity; mapping_risk_line,,,,,no_match,low,review_needed,no_exact_or_normalized_match,0,,parse_review_no_match,likely_bad_match,,current target is not a safe semantic default for this ingredient
pilot_recipe_final_031,Easy Taco Casserole,Beef Recipes,Beef Casserole,4,½ cup mayonnaise,,0,1/2,0.5,0.5,cup,cup,mayonnaise,mayonnaise,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_mayonnaise_70_fat_and_more_prepacked,food_mayonnaise_reduced_fat_or_light_mayonnaise_prepacked",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_032,Fried Beef Ribs,Beef Recipes,Beef Ribs,8,"6 large eggs, beaten",,0,6,6.0,6.0,,,"large eggs, beaten",eggs,large; beaten,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_033,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,1,"1 pound large shrimp, peeled and deveined",,0,1,1.0,1.0,pound,pound,"large shrimp, peeled and deveined",shrimp,large; peeled and deveined,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_shrimp_cooked,food_shrimp_frozen_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_033,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,5,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_033,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,7,⅛ teaspoon black pepper,,0,1/8,0.125,0.125,teaspoon,teaspoon,black pepper,black pepper,,0,0,0,0,parsed_clean,,food_black_pepper_powder,black_pepper_powder,"Black pepper, powder",Black pepper,exact_family_name,medium,review_needed,exact food_family_name match,1,food_black_pepper_powder,family_exact_unique,safe_to_promote_with_rule,"Black pepper, powder",unique family-level match looks safe enough for a narrow promotion rule
pilot_recipe_final_034,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,2,"4 cloves garlic, minced",,0,4,4.0,4.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_034,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,4,"1/2 onion, finely minced",,0,1/2,0.5,0.5,,,"onion, finely minced",onion,finely minced,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_034,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,7,"1 large egg, lightly beaten",,0,1,1.0,1.0,,,"large egg, lightly beaten",egg,large; lightly beaten,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_035,Gluten-Free Kalbi Beef,Beef Recipes,Beef Ribs,1,2 tablespoons sesame seeds,,0,2,2.0,2.0,tablespoons,tablespoon,sesame seeds,sesame seeds,,0,0,0,0,parsed_clean,,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,2,"food_sesame_seed,food_sesame_seed_grilled_husked",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_036,Goat Cheese and Leek Quiche,Vegetarian,Vegetarian Quiche,3,3 eggs,,0,3,3.0,3.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw",family_fallback_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_036,Goat Cheese and Leek Quiche,Vegetarian,Vegetarian Quiche,5,½ cup milk,,0,1/2,0.5,0.5,cup,cup,milk,milk,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,3,"food_milk_powder_semi_skimmed,food_milk_powder_skimmed,food_milk_powder_whole",family_exact_ambiguous,keep_in_review,,family-level match is still ambiguous and should not be auto-promoted
pilot_recipe_final_037,Grandma's Chicken Noodle Soup,Healthy Recipes,Low Glycemic Impact Recipes,9,¼ cup water,,0,1/4,0.25,0.25,cup,cup,water,water,,0,0,0,0,parsed_clean,,food_water_bottled,water_bottled,"Water, bottled",Water,exact_family_name,medium,review_needed,exact food_family_name match,1,food_water_bottled,family_exact_unique,likely_bad_match,,current target is not a safe semantic default for this ingredient
