recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header,quantity_raw,quantity_value_low,quantity_value_high,unit_raw,unit_normalized,ingredient_text_clean,food_name_candidate,preparation_note,optional_flag,garnish_flag,alternative_flag,packaging_flag,parse_status,parse_notes,issue_category_primary,issue_categories_all,issue_judgment
pilot_recipe_final_049,Home-Fried Potatoes,Vegetarian,Vegetarian Breakfast And Brunch,1,4 red potatoes,,0,4,4.0,4.0,,,red potatoes,red potatoes,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_101,Mediterranean Lentil Salad,Vegetarian,Vegan Recipes,5,1 bay leaf,,0,1,1.0,1.0,,,bay leaf,bay leaf,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_059,Million Dollar Chicken Breasts,Dinner,Main Dishes,1,4 boneless chicken breasts,,0,4,4.0,4.0,,,boneless chicken breasts,boneless chicken breasts,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit|other,safe_for_mapping_now
pilot_recipe_final_059,Million Dollar Chicken Breasts,Dinner,Main Dishes,6,1 cupshredded sharp C shredded sharp C,,0,1,1.0,1.0,,,cupshredded sharp C shredded sharp C,cupshredded sharp C shredded sharp C,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_060,Miso Ramen Stir Fry,Dinner,Pasta Main Dishes,6,6 spears asparagus,,0,6,6.0,6.0,,,spears asparagus,spears asparagus,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_066,Pork Tenderloin with Dijon Marsala Sauce,Pork,Pork Tenderloin,1,2 pork tenderloins,,0,2,2.0,2.0,,,pork tenderloins,pork tenderloins,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_067,Portuguese Pork with Red Peppers,Healthy Recipes,Low-Calorie Recipes,8,2 lemons,,0,2,2.0,2.0,,,lemons,lemons,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_073,Red Pepper Soup,Healthy Recipes,Weight-Loss Recipes,5,24 fluid ounces chicken broth,,0,24,24.0,24.0,,,fluid ounces chicken broth,fluid ounces chicken broth,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_076,Serbian Ćevapčići,Beef Recipes,Bbq & Grilled Beef,4,1 egg white,,0,1,1.0,1.0,,,egg white,egg white,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_077,Sheet Pan Halibut with Orange and Fennel,Dinner,Sheet Pan Dinners,7,6 4 ounce halibut filets,,0,6,6.0,6.0,,,4 ounce halibut filets,4 ounce halibut filets,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_079,Sheet Pan Salmon and Veggies,Dinner,Sheet Pan Dinners,2,"3 bell peppers,",,0,3,3.0,3.0,,,bell peppers,bell peppers,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_079,Sheet Pan Salmon and Veggies,Dinner,Sheet Pan Dinners,3,"2 to 3 zucchini,",,0,2 to 3,2.0,3.0,,,zucchini,zucchini,,0,0,0,0,parsed_partial,quantity_range; count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_079,Sheet Pan Salmon and Veggies,Dinner,Sheet Pan Dinners,4,"2 summer squash,",,0,2,2.0,2.0,,,summer squash,summer squash,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_081,Slow Cooker Carnitas,Mexican,Authentic Mexican Recipes,8,2 bay leaves,,0,2,2.0,2.0,,,bay leaves,bay leaves,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_105,Tofu Broccoli Stir-Fry,Vegetarian,Vegetarian,9,1 green onion,,0,1,1.0,1.0,,,green onion,green onion,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_091,Vegetarian Pho (Vietnamese Noodle Soup),Vegetarian,Vegetarian Protein,7,2 pods star anise,,0,2,2.0,2.0,,,pods star anise,pods star anise,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_091,Vegetarian Pho (Vietnamese Noodle Soup),Vegetarian,Vegetarian Protein,8,2 bay leaves,,0,2,2.0,2.0,,,bay leaves,bay leaves,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_011,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,9,"fresh parsley, for garnish",,0,,,,,,fresh parsley,fresh parsley,,0,1,0,0,parsed_partial,missing_quantity; garnish_phrase,other,other,should_go_to_mapping_review
pilot_recipe_final_017,Cajun Shrimp and Sausage Sheet Pan Dinner,Dinner,Sheet Pan Dinners,10,fresh parsley fresh parsley,,0,,,,,,fresh parsley fresh parsley,fresh parsley fresh parsley,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_024,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,1,nonstick cooking spray,,0,,,,,,nonstick cooking spray,nonstick cooking spray,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_029,Easy Mahi Mahi Fish Tacos,Mexican,Mexican Fish Tacos,9,cooking spray,,0,,,,,,cooking spray,cooking spray,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_039,Grilled Catfish Tacos,Mexican,Mexican Fish Tacos,9,cooking spray,,0,,,,,,cooking spray,cooking spray,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_060,Miso Ramen Stir Fry,Dinner,Pasta Main Dishes,9,chopped scallions,,0,,,,,,chopped scallions,chopped scallions,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_060,Miso Ramen Stir Fry,Dinner,Pasta Main Dishes,10,"sesame seeds,",,0,,,,,,sesame seeds,sesame seeds,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_064,Parsley and Parmesan Crusted Pork Tenderloin,Pork,Pork Tenderloin,1,cooking spray,,0,,,,,,cooking spray,cooking spray,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_066,Pork Tenderloin with Dijon Marsala Sauce,Pork,Pork Tenderloin,2,Dijon mustard,,0,,,,,,Dijon mustard,Dijon mustard,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_068,Posole Soup,Mexican,Mexican Soups And Stews,3,water to cover,,0,,,,,,water to cover,water to cover,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_068,Posole Soup,Mexican,Mexican Soups And Stews,6,½ cup shredded cabbage for garnish,,0,1/2,0.5,0.5,cup,cup,shredded cabbage,shredded cabbage,,0,1,0,0,parsed_partial,garnish_phrase,other,other,should_go_to_mapping_review
pilot_recipe_final_074,Restaurant-Style Prime Rib Roast,Main Dishes,Roasts,2,aluminum foil,,0,,,,,,aluminum foil,aluminum foil,,0,0,0,0,parsed_partial,missing_quantity,other,other,should_go_to_mapping_review
pilot_recipe_final_077,Sheet Pan Halibut with Orange and Fennel,Dinner,Sheet Pan Dinners,9,"fresh parsley, for garnish",,0,,,,,,fresh parsley,fresh parsley,,0,1,0,0,parsed_partial,missing_quantity; garnish_phrase,other,other,should_go_to_mapping_review
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,4,"4 strips bacon, diced",,0,4,4.0,4.0,strips,strip,"bacon, diced",bacon,diced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,10,"¼ bunch kale, chopped",,0,1/4,0.25,0.25,bunch,bunch,"kale, chopped",kale,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_005,Asian Pork Tenderloin,Main Dishes,Roasts,6,"4 cloves garlic, crushed",,0,4,4.0,4.0,cloves,clove,"garlic, crushed",garlic,crushed,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_006,Asian-Style Meatloaf,Pork,Pork Meatloaf,3,"3 slices bread, broken up into small pieces",,0,3,3.0,3.0,slices,slice,"bread, broken up into small pieces",bread,broken up into small pieces,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_006,Asian-Style Meatloaf,Pork,Pork Meatloaf,5,"2 stalks celery, finely chopped",,0,2,2.0,2.0,stalks,stalk,"celery, finely chopped",celery,finely chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_007,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,3,"2 heads garlic, peeled and coarsely chopped, divided",,0,2,2.0,2.0,heads,head,"garlic, peeled and coarsely chopped, divided",garlic,peeled and coarsely chopped; divided,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_095,Black Beans and Rice,Dinner,Vegetarian Main Dishes,3,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_013,Bourbon Bacon Pulled Pork,Pork,Pork Loin,9,"8 slices cooked bacon, crumbled",,0,8,8.0,8.0,slices,slice,"cooked bacon, crumbled",cooked bacon,crumbled,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,2,"2 cloves garlic, sliced thin",,0,2,2.0,2.0,cloves,clove,"garlic, sliced thin",garlic,sliced thin,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_019,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,1,"8 slices bacon, divided",,0,8,8.0,8.0,slices,slice,"bacon, divided",bacon,divided,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_019,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,5,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_023,Corned Beef and Cabbage,Beef Recipes,Beef Brisket,5,"2 stalks celery, sliced",,0,2,2.0,2.0,stalks,stalk,"celery, sliced",celery,sliced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_033,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,5,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_034,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,2,"4 cloves garlic, minced",,0,4,4.0,4.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_038,Grilled Balsamic and Soy Marinated Flank Steak,Beef Recipes,Bbq & Grilled Beef,2,"3 cloves garlic, chopped",,0,3,3.0,3.0,cloves,clove,"garlic, chopped",garlic,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_040,Grilled London Broil,Beef Recipes,Bbq & Grilled Beef,7,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_041,Grilled Mahi Mahi in Thai Coconut Sauce,Main Dishes,Thai Main Dishes,5,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_048,Herb-Roasted Pork,Pork,Pork Loin,2,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_053,Italian Style Short Ribs,Beef Recipes,Beef Ribs,2,"3 slices bacon, chopped",,0,3,3.0,3.0,slices,slice,"bacon, chopped",bacon,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_100,"Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette",Dinner,Main Dish Salads,3,"1 bunch kale, torn into bite-sized pieces",,0,1,1.0,1.0,bunch,bunch,"kale, torn into bite-sized pieces",torn into bite-sized pieces,kale,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_057,Marinated Barbequed Vegetables,Vegetarian,Vegetarian Bbq & Grilling,8,"2 cloves garlic, peeled and minced",,0,2,2.0,2.0,cloves,clove,"garlic, peeled and minced",garlic,peeled and minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_058,Marinated Tuna Steak,Main Dishes,Summer Main Dishes,6,"1 clove garlic, minced",,0,1,1.0,1.0,clove,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_101,Mediterranean Lentil Salad,Vegetarian,Vegan Recipes,4,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_064,Parsley and Parmesan Crusted Pork Tenderloin,Pork,Pork Tenderloin,10,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_065,Pizza Casserole,Beef Recipes,Beef Casserole,5,"2 cloves garlic, minced",,0,2,2.0,2.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_071,Quick Super-Delicious Zuppa Toscana,Italian,Italian Soups And Stews,3,"4 slices bacon, cut into 1/2 inch pieces",,0,4,4.0,4.0,slices,slice,"bacon, cut into 1/2 inch pieces",bacon,cut into 1/2 inch pieces,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_073,Red Pepper Soup,Healthy Recipes,Weight-Loss Recipes,4,"4 cloves garlic, minced",,0,4,4.0,4.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_075,Rich Italian Sausage and Potato Soup,Italian,Italian Soups And Stews,3,"1 slice pancetta bacon, diced",,0,1,1.0,1.0,slice,slice,"pancetta bacon, diced",pancetta bacon,diced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_076,Serbian Ćevapčići,Beef Recipes,Bbq & Grilled Beef,5,"4 cloves garlic, minced",,0,4,4.0,4.0,cloves,clove,"garlic, minced",garlic,minced,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_079,Sheet Pan Salmon and Veggies,Dinner,Sheet Pan Dinners,7,"6 cloves garlic, chopped",,0,6,6.0,6.0,cloves,clove,"garlic, chopped",garlic,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_080,Simple Slow Roast Chicken,Dinner,Baked And Roasted Chicken,8,"4 stalks celery, halved",,0,4,4.0,4.0,stalks,stalk,"celery, halved",celery,halved,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_104,Slow Cooker Vegetarian Curry,Vegetarian,Vegetarian Slow Cooker Recipes,1,"1 head cauliflower, chopped",,0,1,1.0,1.0,head,head,"cauliflower, chopped",cauliflower,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_090,Vegetable Quesadillas,Mexican,Quesadillas,2,"1 head fresh broccoli, chopped",,0,1,1.0,1.0,head,head,"fresh broccoli, chopped",fresh broccoli,chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_091,Vegetarian Pho (Vietnamese Noodle Soup),Vegetarian,Vegetarian Protein,4,"8 cloves garlic, coarsely chopped",,0,8,8.0,8.0,cloves,clove,"garlic, coarsely chopped",garlic,coarsely chopped,0,0,0,0,parsed_partial,preparation_note_from_commas,packaging_or_piece_unit,packaging_or_piece_unit|preparation_note_inline,safe_for_mapping_now
pilot_recipe_final_002,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,9,"4 (10 inch) flour tortillas, warmed",,0,4 (10 inch),4.0,4.0,,,"flour tortillas, warmed",flour tortillas,warmed,0,0,0,0,parsed_partial,leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|preparation_note_inline|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_003,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,9,"2 (6 ounce) skinless, boneless chicken breast halves",,0,2 (6 ounce),2.0,2.0,,,"skinless, boneless chicken breast halves",boneless chicken breast halves,skinless,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|preparation_note_inline|count_without_standard_unit|other,safe_with_small_cleanup
pilot_recipe_final_005,Asian Pork Tenderloin,Main Dishes,Roasts,1,1 (2 pound) fat-trimmed pork tenderloin,,0,1 (2 pound),1.0,1.0,,,fat-trimmed pork tenderloin,fat-trimmed pork tenderloin,,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit|other,safe_with_small_cleanup
pilot_recipe_final_008,BBQ NY Strip,Beef Recipes,Beef Ribs,1,4 (6 ounce) New York strip steaks,,0,4 (6 ounce),4.0,4.0,,,New York strip steaks,New York strip steaks,,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_011,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,1,"1 (2-pound) beef tenderloin, trimmed, with silver skin removed",,0,1 (2-pound),1.0,1.0,,,"beef tenderloin, trimmed, with silver skin removed",beef tenderloin,trimmed; with silver skin removed,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|preparation_note_inline|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_014,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,10,6 (3/4 inch thick) center cut pork chops,,0,6 (3/4 inch thick),6.0,6.0,,,center cut pork chops,center cut pork chops,,0,0,0,0,parsed_partial,leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,1,"4 (4 ounce) skinless, boneless chicken breast halves",,0,4 (4 ounce),4.0,4.0,,,"skinless, boneless chicken breast halves",boneless chicken breast halves,skinless,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|preparation_note_inline|count_without_standard_unit|other,safe_with_small_cleanup
pilot_recipe_final_016,Broiled Pork Chops,Dinner,Pork Chops,10,6 (3/4 inch) thick pork chops,,0,6 (3/4 inch),6.0,6.0,,,thick pork chops,thick pork chops,,0,0,0,0,parsed_partial,leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_020,Chicken Bog,Main Dishes,Southern Main Dishes,2,1 (3 pound) whole chicken,,0,1 (3 pound),1.0,1.0,,,whole chicken,whole chicken,,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit,safe_with_small_cleanup
pilot_recipe_final_021,Chicken with Lemon-Caper Sauce,Dinner,Cooking For Two,3,"2 (6 ounce) skinless, boneless chicken breast halves",,0,2 (6 ounce),2.0,2.0,,,"skinless, boneless chicken breast halves",boneless chicken breast halves,skinless,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|preparation_note_inline|count_without_standard_unit|other,safe_with_small_cleanup
pilot_recipe_final_023,Corned Beef and Cabbage,Beef Recipes,Beef Brisket,1,1 (5 1/2 pound) corned beef brisket,,0,1 (5 1/2 pound),1.0,1.0,,,corned beef brisket,corned beef brisket,,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; count_without_measure_unit,parenthetical_pack_size,parenthetical_pack_size|count_without_standard_unit,safe_with_small_cleanup
