final_recipe_id,source_row_number,recipe_signature,recipe_title,category,subcategory,description,ingredients_json,directions_json,num_ingredients,num_steps,recipe_kind_guess,final_subset_source,final_subset_reason,selection_score,noise_score
pilot_recipe_final_011,47204,567b898e242e7fe85fb9f6c162302eb95abd4c86,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,No less than 15 friends texted me last year for my beef tenderloin recipe; it's an all-time favorite. Make and chill the Dijon Cream Sauce up to two weeks in advance.,"[""1 (2-pound) beef tenderloin, trimmed, with silver skin removed"", ""2 tablespoons butter, softened"", ""3 1/2 teaspoons orcestershire sauce"", ""1 teaspoon salt"", ""1 teaspoon black pepper"", ""3/4 cup mayonnaise"", ""1/4 cup ijon mustard"", ""2 dashes hot sauce"", ""fresh parsley, for garnish""]","[""Preheat the oven to 500 degrees F (260 degrees C). Line a rimmed 10x15-inch baking sheet with foil."", ""Place beef tenderloin on the prepared baking sheet. Rub with butter, then drizzle with 1 1/2 teaspoons Worcestershire sauce and sprinkle with salt and pepper. Tuck tapered end of tenderloin underneath to ensure even cooking."", ""Roast tenderloin in the preheated oven until an instant-read thermometer inserted into thickest part registers 135 degrees F (57 degrees C) for medium-rare, 25 to 30 minutes."", ""Transfer tenderloin to a cutting board and tent loosely with foil; let rest for 10 minutes. (After resting, thermometer should register 145 degrees F (63 degrees C))"", ""For sauce, stir together mayonnaise, mustard, hot sauce, and remaining 2 teaspoons Worcestershire in a small bowl. Slice tenderloin. Serve with sauce and garnish with parsley.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.92,0
pilot_recipe_final_012,48763,e7cd289c7a8a6f82a706eb857306bc2c928d0f1b,"Bo Luc Lac ""French-Vietnamese Shaking Beef""",Main Dishes,French Main Dishes,A French-inspired Vietnamese beef stir fry.,"[""2 tablespoons minced garlic"", ""2 tablespoons oyster sauce"", ""1 \u00bd tablespoons white sugar"", ""1 tablespoon fish sauce"", ""1 tablespoon sesame oil"", ""1 tablespoon soy sauce"", ""1 teaspoon hoisin sauce"", ""1 \u00bd pounds beef top sirloin, cut into 1-inch cubes""]","[""Whisk garlic, oyster sauce, 1 1/2 tablespoons sugar, fish sauce, sesame oil, soy sauce, and hoisin sauce together in a bowl; add beef. Marinate beef in refrigerator for at least 1 hour."", ""Whisk vinegar, 1 1/2 tablespoons sugar, and 1 1/2 teaspoons salt together in a bowl until vinaigrette is smooth; add onion. Refrigerate for 10 minutes to pickle the onion."", ""Whisk lime juice, 1/2 teaspoon salt, and black pepper together in a bowl until dipping sauce is smooth. Transfer dipping sauce to ramekins."", ""Heat cooking oil in a wok or large skillet over high heat until oil starts to smoke; add beef. Cook in a single layer until beef is seared, about 2 minutes. Cook and stir (or \""shake\"") until beef reaches desired doneness, 2 to 4 minutes."", ""Spread watercress onto a serving plate and top with tomatoes. Drizzle vinaigrette over tomatoes and layer beef onto watercress; top with onion. Serve dipping sauce on the side.""]",8,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.73,0
pilot_recipe_final_013,58707,c524503753941fc288b9e8b1c42928ff25515477,Bourbon Bacon Pulled Pork,Pork,Pork Loin,"Easy bourbon bacon pulled pork in the slow cooker. Serve with or without buns. If using buns, they taste best toasted. Top the cooked pulled pork with BBQ sauce.","[""1 teaspoon garlic powder"", ""1 teaspoon onion powder"", ""1 teaspoon salt"", ""1 teaspoon ground black pepper"", ""2 pounds pork loin"", ""1 cup packed brown sugar"", ""\u00bd cup bourbon"", ""\u2153 cup apple cider vinegar"", ""8 slices cooked bacon, crumbled""]","[""Combine garlic powder, onion powder, salt, and pepper in a small bowl. Massage over all sides of pork loin for 1 minute. Place pork in a slow cooker."", ""Mix brown sugar, bourbon, and apple cider vinegar together in a bowl and pour over pork loin. Close slow cooker."", ""Cook on Low until pork is tender, 8 to 10 hours. Remove pork from slow cooker and shred with two forks. Mix with bacon.""]",9,3,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.48,0
pilot_recipe_final_014,46868,4d98530b99c3bd3b6d574ca0728baa1191a32e7c,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,"I usually prepare this recipe for 300 plus senior citizens where I work, but I've scaled it down for home use. The recipe is for freshly seasoned and breaded pork chops that come out nice and moist.","[""2 cups all-purpose flour"", ""6 eggs"", ""\u215b cup milk"", ""2 cups seasoned bread crumbs"", ""1 teaspoon lemon pepper"", ""1 tablespoon dried parsley"", ""1 teaspoon garlic powder"", ""\u00bc teaspoon dried dill weed"", ""1 teaspoon Italian-style seasoning"", ""6 (3/4 inch thick) center cut pork chops""]","[""Preheat oven to 375 degrees F (190 degrees C)."", ""Place the flour in a bowl. Combine the eggs and milk in a separate bowl, mixing together well, and then place the bread crumbs in another separate bowl. To the bread crumbs stir in the lemon pepper, parsley, garlic powder, dill and Italian-style seasoning."", ""Dip each chop into the flour, shaking off any excess flour, then dip into the egg/milk mixture, and, finally, dredge each chop liberally in the bread crumbs."", ""Lay the chops into a lightly greased 9x13 inch baking dish and pour water as needed into the dish, enough to just cover the bottom."", ""Bake for 40 minutes, then reduce heat to 325 degrees F (165 degrees C) for 20 more minutes.""]",10,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.73,0
pilot_recipe_final_015,36526,dcceff19f92ae0f36cd52ad35d8a365a907e7ba3,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,A juicy breast of chicken that even the kids will enjoy.,"[""4 (4 ounce) skinless, boneless chicken breast halves"", ""2 cloves garlic, sliced thin"", ""1 teaspoon chopped fresh rosemary"", ""1 tablespoon chopped fresh thyme"", ""1 tablespoon chopped fresh sage"", ""4 carrots, halved lengthwise and cut crosswise into 1-inch pieces"", ""4 red potatoes, cut into 1-inch pieces"", ""1 tablespoon extra-virgin olive oil"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon freshly ground black pepper""]","[""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Line a 10x12 inch pan with aluminum foil."", ""Use the tip of a sharp boning or paring knife to cut 3 small slits into the side of each chicken breast; insert a slice of garlic into each slit."", ""Mix the rosemary, thyme, and sage together on a shallow dish; roll and press each chicken breast into the herb mixture to coat."", ""Arrange the breasts close together on the foil-lined pan. Place carrots and red potatoes in a layer around chicken and fold up edges of foil approximately 1 inch. Drizzle carrots and red potatoes with olive oil, salt, and pepper."", ""Cook in the preheated oven for 7 minutes; turn the chicken and cook until no longer pink in the center and the juices run clear, 7 to 10 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).""]",10,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.73,0
pilot_recipe_final_016,26661,7efdafc6efeb204a040ad07810a63c6a5856ed69,Broiled Pork Chops,Dinner,Pork Chops,Broiling pork chops is easy to do. Pork is very lean; this quick broiling method keeps the meat juicy and succulent. These are fabulous pork chops. Serve with steamed veggies and mashed potatoes for a complete meal.,"[""\u00be cup ketchup"", ""\u00be cup water"", ""2 tablespoons distilled white vinegar"", ""1 tablespoon Worcestershire sauce"", ""2 teaspoons brown sugar"", ""1 teaspoon salt"", ""\u00bd teaspoon paprika"", ""\u00bd teaspoon chili powder"", ""\u215b teaspoon ground black pepper"", ""6 (3/4 inch) thick pork chops""]","[""Combine ketchup, water, vinegar, Worcestershire sauce, brown sugar, salt, paprika, chili powder, and pepper in a medium saucepan. Bring to a boil. Reduce heat to low; simmer, stirring occasionally, until slightly thickened, about 5 minutes. Set aside 1/2 of the sauce for serving."", ""Preheat the oven broiler. Place an oven rack 4 inches from heat."", ""Brush both sides of chops with sauce, then place on a broiling pan rack."", ""Broil chops for 4 minutes on each side. Brush with more sauce. Continue broiling, turning and basting every 3 to 4 minutes, until juices run clear. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C)."", ""Serve pork chops with reserved sauce.""]",10,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.67,0
pilot_recipe_final_017,26199,117fb18d0de597c8345d564ff7f00c518efe6a5d,Cajun Shrimp and Sausage Sheet Pan Dinner,Dinner,Sheet Pan Dinners,"You might call this Cajun shrimp and sausage sheet pan dinner a shrimp boil without the water, or maybe a gumbo without the roux. With so many vegetables, a simple green salad will complete this dinner nicely, along with some crusty French bread.","[""1 pound asparagus spears,"", ""1 pound yellow squash"", ""1 pound zucchini"", ""1/2 medium red onion"", ""1 pepper red bell pepper"", ""3 tablespoons olive oil"", ""2 tablespoons low-sodium Cajun seasoning"", ""1 pound cocktail wieners"", ""1 pound shrimp without tails"", ""fresh parsley fresh parsley""]","[""Preheat the oven to 400 degrees F (200 degrees C), and line a sheet pan with parchment paper or foil."", ""Add asparagus, yellow squash, zucchini, onion, bell pepper, 2 tablespoons olive oil, and 2 tablespoons Cajun seasoning; toss until vegetables are well coated. Stir in cocktail wieners, and spread everything evenly on the prepared pan."", ""Roast in the preheated oven for 10 minutes."", ""Dry shrimp with paper towels and place in a bowl. Toss with remaining 1 tablespoon olive oil and 1 teaspoon Cajun seasoning. Stir vegetables and sausages, and place oiled and seasoned shrimp on top."", ""Roast until vegetables are fork tender and shrimp is just opaque, about 10 minutes more. Shrimp will continue to cook after the pan is removed from the oven. Garnish with fresh parsley and lemon slices.""]",10,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.73,0
pilot_recipe_final_018,58659,34b0d2aa55e8517647503e9607cb9c163f2cf332,Canadian Pork Loin Chops,Pork,Pork Loin,"I came up with this recipe as I love maple and mustard. We wanted to add more flavor and not dry out the boneless loin chops. Spice rub marinade, lightly breaded with a maple-mustard glaze, and cooked in garlic-flavored oil - a great Canadian recipe! This is also great on the BBQ. Perfect with roasted potatoes and a coleslaw.","[""1 \u00bd tablespoons brown sugar"", ""1 \u00bd teaspoons sea salt"", ""\u00bd teaspoon garlic powder"", ""\u00bd teaspoon onion powder"", ""\u00bd teaspoon paprika"", ""\u00bc teaspoon freshly ground black pepper"", ""\u00bc teaspoon dry mustard"", ""\u00bc teaspoon crushed fennel seeds"", ""6 boneless pork loin chops, 1/2 inch thick""]","[""Whisk brown sugar, sea salt, 1/2 teaspoon garlic powder, onion powder, 1/2 teaspoon paprika, 1/4 teaspoon black pepper, dry mustard, and fennel seeds together in a small bowl."", ""Pat pork loin chops dry with a paper towel. Score the meat on both sides, 1/8-inch deep in cross-hatch lines spaced 1/2-inch apart, with a sharp knife; rub spice mixture onto all sides of pork chops and into scored lines. Cover chops; refrigerate for 4 to 6 hours."", ""Whisk maple syrup, brown mustard, pinch of garlic powder, pinch of paprika, pinch of black pepper, and cayenne pepper together in a small bowl; set aside."", ""Coat pork chops on all sides with seasoned bread crumbs."", ""Heat olive oil and canola oil in a large skillet over medium-high heat. Stir garlic into pan, and cook until lightly browned and fragrant, about 1 minute; remove garlic from pan and discard."", ""Place pork chops into skillet in batches to avoid crowding; cook chops until lightly browned, 2 to 3 minutes per side. Return all pork chops to skillet; reduce heat to medium. Drizzle half the maple syrup mixture over pork chops. Turn chops and cook until glazed, 1 to 2 minutes. Drizzle remaining maple syrup mixture over pork chops; turn and cook until glazed, 1 to 2 minutes."", ""Reduce heat to low; cover pork chops and cook until slightly pink in the center, about 5 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).""]",9,7,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.48,0
pilot_recipe_final_019,59197,edb15bcbd0d42c58b09130fd0c8433ba2ca6b532,Cheese-Filled Meat Loaf,Pork,Pork Meatloaf,"Meat loaf with a cheesy center, a bacon weave on top, and a sweet pineapple glaze.","[""8 slices bacon, divided"", ""1 pound ground beef"", ""\u00bc cup dry bread crumbs"", ""1 egg, beaten"", ""1 clove garlic, minced"", ""1 teaspoon Worcestershire sauce"", ""1 teaspoon salt"", ""1 teaspoon ground black pepper""]","[""Preheat oven to 350 degrees F (175 degrees C). Chop 4 bacon strips; set remaining 4 bacon strips aside."", ""Cook chopped bacon in a large skillet over medium heat, stirring often, until bacon is browned and crisp, 8 to 10 minutes. Set chopped bacon aside."", ""Lightly mix ground beef, bread crumbs, beaten egg, garlic, 1 teaspoon Worcestershire sauce, salt, and black pepper together in a bowl until thoroughly combined. Spread meat mixture out on a piece of waxed paper, forming a rectangle about 10 inches square. Spread Cheddar cheese and cooked chopped bacon over the meat, leaving a 1/2-inch edge all around. Carefully lift an edge and roll the meat around the filling. Place into a loaf pan with the seam side down."", ""Bake meat loaf in the preheated oven until hot and beginning to brown, about 30 minutes. Mix ketchup, brown sugar, pineapple, and 1 teaspoon Worcestershire sauce together in a bowl, stirring to dissolve brown sugar. Remove meat loaf from oven and place remaining 4 bacon strips onto meat loaf, weaving them together. Spread pineapple mixture over woven bacon and top of loaf."", ""Return meat loaf to oven and bake until bacon topping is crisp and pineapple mixture has baked into a glaze, about 20 more minutes. An instant-read meat thermometer inserted into the center of the meat loaf should read 160 degrees F (70 degrees C).""]",8,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.71,0
pilot_recipe_final_020,48383,bd5bc26e8a49423a4d79c40661c7429d892f87b4,Chicken Bog,Main Dishes,Southern Main Dishes,"Chicken bog is a cross between a casserole and a stew. It's chock-full of chicken, sausage, rice, and onions, and it's great comfort food when it's cold outside. When you're feeling ""bogged"" down, make some chicken bog to cheer yourself up! This recipe is what's called ""Lowcountry cooking,"" a term used in the coastal regions of South Carolina, where chicken bog is often served in restaurants.","[""6 cups water"", ""1 (3 pound) whole chicken"", ""1 medium onion, chopped"", ""1 tablespoon salt"", ""3 \u00bd cups chicken broth"", ""\u00bd pound smoked sausage of your choice, sliced"", ""1 cup long-grain white rice"", ""2 tablespoons Italian-style seasoning"", ""2 cubes chicken bouillon""]","[""Gather all ingredients."", ""Bring water, chicken, onion, and salt to a boil in a large pot over medium heat. Reduce the heat, cover, and simmer until chicken is no longer pink at the bone and the juices run clear, about 1 hour. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read at least 165 degrees F (74 degrees C)."", ""Transfer chicken to a cutting board to cool for 10 to 15 minutes."", ""Skim and discard fat from cooking liquid. Measure 3 1/2 cups cooking liquid and place into a 6-quart saucepan. Discard remaining cooking liquid."", ""Remove and discard chicken skin and bones. Chop meat into bite-sized pieces."", ""Add chicken to the cooking liquid in the saucepan. Add sausage, rice, Italian seasoning, and bouillon. Set over medium-low heat and cook for 30 minutes. Reduce the heat to low, cover, and cook, stirring often, until thickened to desired consistency, 10 to 20 more minutes.""]",9,6,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.73,0
