recipe_id_candidate,source_index,display_name,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_grams_estimated,parse_status,fooddb_version_used,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,2,2 tablespoons tomato paste,tomato paste,tomato paste,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,3,"2 green onions, minced",green onions,green onions,2.0,count,220.0,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,4,2 tablespoons rice wine,rice wine,rice wine,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,9,"¾ teaspoon red pepper flakes, divided",red pepper flakes,red pepper flakes,0.75,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,11,"¼ cup canola oil, divided",canola oil,canola oil,0.25,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,1,"1 pound potatoes,",potatoes,potatoes,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,5,"3/4 teaspoon kosher salt,",kosher salt,kosher salt,0.75,teaspoon,4.5,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,7,"1 pound sirloin steak,",sirloin steak,sirloin steak,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,8,1 tablespoon Worcestershire sauce,Worcestershire sauce,worcestershire sauce,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,9,2 tablespoons butter,butter,butter,2.0,tablespoon,28.4,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,1,cooking spray,cooking spray,cooking spray,,,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,out_of_scope_non_food_or_non_nutrition_line
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,2,"8 red potatoes, cut into chunks",red potatoes,red potatoes,8.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,3,"1 yellow bell pepper, cut into 1-inch pieces",yellow bell pepper,yellow bell pepper,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,8,"2 cups cherry tomatoes, halved",cherry tomatoes,cherry tomatoes,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,9,4 (4 ounce) tilapia filets,tilapia filets,tilapia filets,4.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,11,"1 lemon, cut into wedges",lemon,lemon,1.0,count,58.0,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,1,8 ounces spaghetti,spaghetti,spaghetti,8.0,ounce,226.8,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,5,"2 skinless, boneless chicken breast halves - cut into bite-size pieces",chicken breast halves - cut into bite-size pieces,chicken breast halves cut into bite size pieces,2.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,6,2 cups broccoli florets,broccoli florets,broccoli florets,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,7,2 cups cauliflower florets,cauliflower florets,cauliflower florets,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,8,2 cups julienned carrots,julienned carrots,julienned carrots,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,1,12 ounces dry spaghetti,dry spaghetti,dry spaghetti,12.0,ounce,340.19,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,2,3 tablespoons extra virgin olive oil,extra virgin olive oil,virgin olive oil,3.0,tablespoon,40.5,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,5,1/2 teaspoon crushed red pepper,crushed red pepper,red pepper,0.5,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,6,1 (15-ounce) can diced fire-roasted tomatoes,diced fire-roasted tomatoes,fire roasted tomatoes,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,9,1 tablespoon balsamic vinegar,balsamic vinegar,balsamic vinegar,1.0,tablespoon,15.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_018,45807,Shrimp Marinara,11,1/4 teaspoon kosher salt,kosher salt,kosher salt,0.25,teaspoon,1.5,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,4,2 tablespoons flour,flour,flour,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,7,"1 pound skinless, boneless chicken thighs",chicken thighs,chicken thighs,1.0,pound,453.59,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,10,1 (5 ounce) can water chestnuts,water chestnuts,water chestnuts,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,11,1 teaspoon rice vinegar,rice vinegar,rice vinegar,1.0,teaspoon,5.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,1,"6 slices bacon, sliced crosswise into 1/2-inch pieces",bacon,bacon,6.0,slice,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,5,½ cup chopped fresh pineapple,chopped fresh pineapple,pineapple,0.5,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,6,"5 cups cooked jasmine rice, cooled",cooked jasmine rice,jasmine rice,5.0,cup,925.0,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,7,2 tablespoons ketchup,ketchup,ketchup,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,8,2 tablespoons light soy sauce,light soy sauce,light soy sauce,2.0,tablespoon,32.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_020,48701,Thai Fried Rice,10,¼ teaspoon freshly ground white pepper,freshly ground white pepper,freshly white pepper,0.25,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,2,1 cup uncooked white rice,uncooked white rice,uncooked white rice,1.0,cup,185.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,3,"3 large green bell peppers, halved and seeded",green bell peppers,green bell peppers,3.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,4,1 ½ pounds lean ground beef,lean ground beef,beef,1.5,pound,680.39,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,6,garlic powder to taste,garlic powder,garlic powder,,,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,10,2 cups finely shredded mozzarella cheese,finely shredded mozzarella cheese,finely mozzarella cheese,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_022,15547,Grandma's Chinese Vegetable Soup,1,1 pound pork neck bones,pork neck bones,pork neck bones,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_022,15547,Grandma's Chinese Vegetable Soup,3,"2 large potatoes, cut into chunks",potatoes,potatoes,2.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_022,15547,Grandma's Chinese Vegetable Soup,4,"2 large tomatoes, quartered",tomatoes,tomatoes,2.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_023,29428,Beef and Broccoli Udon Noodles,5,1/4 teaspoon baking soda,baking soda,baking soda,0.25,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_023,29428,Beef and Broccoli Udon Noodles,6,"1/2 pound flank steak, sliced across grain 1/4-inch thick",flank steak,flank steak,0.5,pound,226.8,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,4,"1 bell pepper, chopped",bell pepper,bell pepper,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,5,"2 (14.5 ounce) cans black beans, rinsed, drained, and mashed",black beans,black beans,2.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,6,2 tablespoons yellow cornmeal,yellow cornmeal,yellow cornmeal,2.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,7,1 ½ tablespoons cumin,cumin,cumin,1.5,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,10,1 teaspoon chili powder,chili powder,chili powder,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,11,1 cup salsa,salsa,salsa,1.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_025,52983,10-Minute Mushroom Carbonara,1,1 (16 ounce) package spaghetti,spaghetti,spaghetti,1.0,package,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_025,52983,10-Minute Mushroom Carbonara,2,½ pound sliced fresh mushrooms,sliced fresh mushrooms,mushrooms,0.5,pound,226.8,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_025,52983,10-Minute Mushroom Carbonara,6,½ cup freshly grated Parmesan cheese divided,freshly grated Parmesan cheese divided,freshly parmesan cheese divided,0.5,cup,50.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
